close_yf,Date
23873.900390625,2024-05-28
23687.69921875,2024-05-29
23466.30078125,2024-05-30
23518.05078125,2024-05-31
24344.19921875,2024-06-03
22739.599609375,2024-06-04
23550.75,2024-06-05
23806.94921875,2024-06-06
24266.05078125,2024-06-07
24271.150390625,2024-06-10
24271.05078125,2024-06-11
24348.80078125,2024-06-12
24449.5,2024-06-13
24571.650390625,2024-06-14
24683.55078125,2024-06-18
24599.900390625,2024-06-19
24649.849609375,2024-06-20
24555.5,2024-06-21
24621.599609375,2024-06-24
24757.80078125,2024-06-25
24867.150390625,2024-06-26
25026.55078125,2024-06-27
25007.25,2024-06-28
25155.69921875,2024-07-01
25120.099609375,2024-07-02
25306.900390625,2024-07-03
25342.55078125,2024-07-04
25391.25,2024-07-05
25393.55078125,2024-07-08
25515.099609375,2024-07-09
25425.650390625,2024-07-10
25433.75,2024-07-11
25577.30078125,2024-07-12
25696.05078125,2024-07-15
25679.099609375,2024-07-16
25784.80078125,2024-07-18
25450.849609375,2024-07-19
25490.400390625,2024-07-22
25419.599609375,2024-07-23
25389.0,2024-07-24
25407.5,2024-07-25
25841.900390625,2024-07-26
25901.94921875,2024-07-29
25914.099609375,2024-07-30
26025.599609375,2024-07-31
26057.80078125,2024-08-01
25771.900390625,2024-08-02
25043.05078125,2024-08-05
24940.75,2024-08-06
25349.0,2024-08-07
25161.25,2024-08-08
25425.400390625,2024-08-09
25386.05078125,2024-08-12
25155.150390625,2024-08-13
25160.650390625,2024-08-14
25578.5,2024-08-16
25638.19921875,2024-08-19
25782.349609375,2024-08-20
25853.19921875,2024-08-21
25910.44921875,2024-08-22
25905.94921875,2024-08-23
26076.80078125,2024-08-26
26083.150390625,2024-08-27
26116.80078125,2024-08-28
26188.900390625,2024-08-29
26274.349609375,2024-08-30
26335.0,2024-09-02
26341.69921875,2024-09-03
26275.75,2024-09-04
26239.099609375,2024-09-05
25928.55078125,2024-09-06
26011.25,2024-09-09
26115.19921875,2024-09-10
25987.80078125,2024-09-11
26461.099609375,2024-09-12
26419.900390625,2024-09-13
26453.400390625,2024-09-16
26471.30078125,2024-09-17
26420.150390625,2024-09-18
26425.25,2024-09-19
26821.0,2024-09-20
27024.099609375,2024-09-23
27027.5,2024-09-24
27051.650390625,2024-09-25
27256.25,2024-09-26
27253.849609375,2024-09-27
26890.150390625,2024-09-30
26885.25,2024-10-01
26305.25,2024-10-03
26056.0,2024-10-04
25749.650390625,2024-10-07
26057.349609375,2024-10-08
26076.599609375,2024-10-09
26079.44921875,2024-10-10
26054.099609375,2024-10-11
26197.900390625,2024-10-14
26149.099609375,2024-10-15
26058.099609375,2024-10-16
25765.349609375,2024-10-17
25853.80078125,2024-10-18
25739.5,2024-10-21
25348.05078125,2024-10-22
25320.650390625,2024-10-23
25275.5,2024-10-24
25022.19921875,2024-10-25
