date,nav
01-03-2012,5229.95
29-02-2012,5273.10
28-02-2012,5261.55
27-02-2012,5155.10
24-02-2012,5300.90
23-02-2012,5351.75
22-02-2012,5371.05
21-02-2012,5491.65
17-02-2012,5451.95
16-02-2012,5413.65
15-02-2012,5414.15
14-02-2012,5299.35
13-02-2012,5272.30
10-02-2012,5263.70
09-02-2012,5286.85
08-02-2012,5241.70
07-02-2012,5204.20
06-02-2012,5237.50
03-02-2012,5191.90
02-02-2012,5142.60
01-02-2012,5108.25
31-01-2012,5069.70
30-01-2012,4959.75
27-01-2012,5074.10
25-01-2012,5031.05
24-01-2012,4994.25
23-01-2012,4911.15
20-01-2012,4913.65
19-01-2012,4883.00
18-01-2012,4819.40
17-01-2012,4834.45
16-01-2012,4747.60
13-01-2012,4738.15
12-01-2012,4703.85
11-01-2012,4721.60
10-01-2012,4704.20
09-01-2012,4598.55
07-01-2012,4599.25
06-01-2012,4602.50
05-01-2012,4602.90
04-01-2012,4601.15
03-01-2012,4612.05
02-01-2012,4485.90
30-12-2011,4477.35
29-12-2011,4495.50
28-12-2011,4547.10
27-12-2011,4590.55
26-12-2011,4619.90
23-12-2011,4562.00
22-12-2011,4584.40
21-12-2011,4543.15
20-12-2011,4408.40
19-12-2011,4481.55
16-12-2011,4527.95
15-12-2011,4619.50
14-12-2011,4634.50
13-12-2011,4671.20
12-12-2011,4642.90
09-12-2011,4742.50
08-12-2011,4814.30
07-12-2011,4925.15
05-12-2011,4907.10
02-12-2011,4914.75
01-12-2011,4802.25
30-11-2011,4709.25
29-11-2011,4691.20
28-11-2011,4739.10
25-11-2011,4608.30
24-11-2011,4644.40
23-11-2011,4592.55
22-11-2011,4694.40
21-11-2011,4664.85
18-11-2011,4784.35
17-11-2011,4811.80
16-11-2011,4902.20
15-11-2011,4937.30
14-11-2011,5027.00
11-11-2011,5049.80
09-11-2011,5102.45
08-11-2011,5170.10
04-11-2011,5169.15
03-11-2011,5145.75
02-11-2011,5133.85
01-11-2011,5132.65
31-10-2011,5193.40
28-10-2011,5217.50
26-10-2011,5068.30
25-10-2011,5054.25
24-10-2011,4974.40
21-10-2011,4936.40
20-10-2011,4978.95
19-10-2011,5024.90
18-10-2011,4934.05
17-10-2011,5010.40
14-10-2011,5021.25
13-10-2011,4976.35
12-10-2011,4992.10
11-10-2011,4875.80
10-10-2011,4874.35
07-10-2011,4789.95
05-10-2011,4665.75
04-10-2011,4688.05
03-10-2011,4766.10
30-09-2011,4860.10
29-09-2011,4927.05
28-09-2011,4867.45
27-09-2011,4892.35
26-09-2011,4765.60
23-09-2011,4804.20
22-09-2011,4855.85
21-09-2011,5056.05
20-09-2011,5054.00
19-09-2011,4956.70
16-09-2011,5004.05
15-09-2011,4995.40
14-09-2011,4931.10
13-09-2011,4867.20
12-09-2011,4873.35
09-09-2011,4986.35
08-09-2011,5074.55
07-09-2011,5050.80
06-09-2011,4986.45
05-09-2011,4947.60
02-09-2011,4963.35
30-08-2011,4921.15
29-08-2011,4844.80
26-08-2011,4681.40
25-08-2011,4774.55
24-08-2011,4825.10
23-08-2011,4881.75
22-08-2011,4835.30
19-08-2011,4783.50
18-08-2011,4870.55
17-08-2011,4980.75
16-08-2011,4969.65
12-08-2011,5009.20
11-08-2011,5070.25
10-08-2011,5093.15
09-08-2011,5003.90
08-08-2011,5052.50
05-08-2011,5138.95
04-08-2011,5250.75
03-08-2011,5313.95
02-08-2011,5361.00
01-08-2011,5417.55
29-07-2011,5391.25
28-07-2011,5412.95
